	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
2.4.1.102	PWY-7433	mucin core 1 and core 2 O-glycosylation	Protein-Glycosylation	Macromolecule Modification	Protein Modification	Protein Glycosylation	Protein Glycosylation	Protein Glycosylation	Protein Glycosylation	Protein Glycosylation
1.3.99.-	PWY-7766	heme biosynthesis IV (Gram-positive bacteria)	HEME-SYN	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Porphyrin Compounds Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis
1.3.3.15	PWY-7766	heme biosynthesis IV (Gram-positive bacteria)	HEME-SYN	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Porphyrin Compounds Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis
4.99.1.9	PWY-7766	heme biosynthesis IV (Gram-positive bacteria)	HEME-SYN	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Porphyrin Compounds Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis
4.1.1.37	PWY-7766	heme biosynthesis IV (Gram-positive bacteria)	HEME-SYN	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Porphyrin Compounds Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis	Heme Biosynthesis
3.5.99.-	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	HOMOCYSTEINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-homocysteine Degradation	L-homocysteine Degradation	L-homocysteine Degradation	L-homocysteine Degradation
3.5.99.-	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	CYSTEINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-cysteine Biosynthesis	L-cysteine Biosynthesis	L-cysteine Biosynthesis	L-cysteine Biosynthesis
4.2.1.22	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	HOMOCYSTEINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-homocysteine Degradation	L-homocysteine Degradation	L-homocysteine Degradation	L-homocysteine Degradation
4.2.1.22	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	CYSTEINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-cysteine Biosynthesis	L-cysteine Biosynthesis	L-cysteine Biosynthesis	L-cysteine Biosynthesis
3.5.99.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
4.1.1.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
2.3.-.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
2.6.1.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
5.-.-.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
1.-.-.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
2.6.1.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
1.1.-.-	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
2.3.2.2	PWY-5826	hypoglycin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis	Secondary Metabolites Biosynthesis
3.5.99.-	PWY-5437	L-threonine degradation I	THREONINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation
2.7.2.15	PWY-5437	L-threonine degradation I	THREONINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation
2.3.1.222	PWY-5437	L-threonine degradation I	THREONINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation
2.3.1.-	PWY-5437	L-threonine degradation I	THREONINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation	L-threonine Degradation
3.5.99.-	PWY-701	L-methionine degradation II	METHIONINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-methionine Degradation	L-methionine Degradation	L-methionine Degradation	L-methionine Degradation
3.5.99.-	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	ISOLEUCINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis
4.2.1.9	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	ISOLEUCINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis
1.1.1.86	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	ISOLEUCINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis
2.2.1.6	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	ISOLEUCINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis
2.6.1.42	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	ISOLEUCINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis	L-isoleucine Biosynthesis
2.7.1.ax|	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
4.2.3.152	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.14.11.52	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.6.1.M1	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
5.1.3.33	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.5.1.bp|	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.3.1.-	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.1.1.-	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
3.1.3.101	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.4.1.338	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.7.7.ab|	PWY-5818	validamycin biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.14.13.ds|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.1.1.gb|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.3.98.d|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.14.13.38	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.6.1.M2	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.14.13.du|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.3.98.d|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
1.14.13.dt|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
2.1.1.gb|	PWY-7812	tetracycline and oxytetracycline biosynthesis	Antibiotic-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis	Antibiotic Biosynthesis
3.1.1.4	LIPASYN-PWY	phospholipases	Metabolic-Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters
3.1.1.4	LIPASYN-PWY	phospholipases	Fatty-Acid-and-Lipid-Degradation	Degradation/Utilization/Assimilation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation
3.1.4.11	LIPASYN-PWY	phospholipases	Metabolic-Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters
3.1.4.11	LIPASYN-PWY	phospholipases	Fatty-Acid-and-Lipid-Degradation	Degradation/Utilization/Assimilation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation
3.1.4.4	LIPASYN-PWY	phospholipases	Metabolic-Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters
3.1.4.4	LIPASYN-PWY	phospholipases	Fatty-Acid-and-Lipid-Degradation	Degradation/Utilization/Assimilation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation
3.1.4.3	LIPASYN-PWY	phospholipases	Metabolic-Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters
3.1.4.3	LIPASYN-PWY	phospholipases	Fatty-Acid-and-Lipid-Degradation	Degradation/Utilization/Assimilation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation
3.1.1.32	LIPASYN-PWY	phospholipases	Metabolic-Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters	Metabolic Clusters
3.1.1.32	LIPASYN-PWY	phospholipases	Fatty-Acid-and-Lipid-Degradation	Degradation/Utilization/Assimilation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation	Fatty Acid and Lipids Degradation
3.1.1.4	PWY-6803	phosphatidylcholine acyl editing	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.3.1.23	PWY-6803	phosphatidylcholine acyl editing	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
6.2.1.3	PWY-6803	phosphatidylcholine acyl editing	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
3.1.1.32	PWY-6803	phosphatidylcholine acyl editing	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
5.3.3.4	PWY-6185	4-methylcatechol degradation (ortho cleavage)	AROMATIC-COMPOUNDS-DEGRADATION	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation
3.1.1.24	PWY-6185	4-methylcatechol degradation (ortho cleavage)	AROMATIC-COMPOUNDS-DEGRADATION	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation
2.8.3.6	PWY-6185	4-methylcatechol degradation (ortho cleavage)	AROMATIC-COMPOUNDS-DEGRADATION	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation
5.5.1.7	PWY-6185	4-methylcatechol degradation (ortho cleavage)	AROMATIC-COMPOUNDS-DEGRADATION	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation
5.4.99.14	PWY-6185	4-methylcatechol degradation (ortho cleavage)	AROMATIC-COMPOUNDS-DEGRADATION	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation
2.3.1.174	PWY-6185	4-methylcatechol degradation (ortho cleavage)	AROMATIC-COMPOUNDS-DEGRADATION	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation
3.5.99.-	PWY-7512	3,5,6-trichloro-2-pyridinol degradation	Chloroaromatic-Compounds-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation
3.5.99.-	PWY-7512	3,5,6-trichloro-2-pyridinol degradation	Chloroaromatic-Compounds-Degradation	Degradation/Utilization/Assimilation	Chlorinated Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation
1.14.14.-	PWY-7512	3,5,6-trichloro-2-pyridinol degradation	Chloroaromatic-Compounds-Degradation	Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation
1.14.14.-	PWY-7512	3,5,6-trichloro-2-pyridinol degradation	Chloroaromatic-Compounds-Degradation	Degradation/Utilization/Assimilation	Chlorinated Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation	Chloroaromatic Compounds Degradation
1.14.13.28	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Flavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis
1.14.13.28	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-PHYTOALEXINS	Biosynthesis	Secondary Metabolites Biosynthesis	Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis
1.14.13.89	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Flavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis
1.14.13.89	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-PHYTOALEXINS	Biosynthesis	Secondary Metabolites Biosynthesis	Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis
4.2.1.139	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Flavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis
4.2.1.139	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-PHYTOALEXINS	Biosynthesis	Secondary Metabolites Biosynthesis	Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis
1.3.1.51	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Flavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis
1.3.1.51	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-PHYTOALEXINS	Biosynthesis	Secondary Metabolites Biosynthesis	Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis
1.1.1.348	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Flavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis	Isoflavonoids Biosynthesis
1.1.1.348	PWY-2761	glyceollin biosynthesis I	ISOFLAVONOID-PHYTOALEXINS	Biosynthesis	Secondary Metabolites Biosynthesis	Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis	Isoflavonoid Phytoalexins Biosynthesis
2.3.1.51	PWY-7587	oleate biosynthesis III (cyanobacteria)	Oleate-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Oleate Biosynthesis	Oleate Biosynthesis	Oleate Biosynthesis
2.3.1.15	PWY-7587	oleate biosynthesis III (cyanobacteria)	Oleate-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Oleate Biosynthesis	Oleate Biosynthesis	Oleate Biosynthesis
1.14.19.28	PWY-7587	oleate biosynthesis III (cyanobacteria)	Oleate-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Oleate Biosynthesis	Oleate Biosynthesis	Oleate Biosynthesis
1.1.1.1	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
1.4.3.4	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
1.1.1.1	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
2.1.1.28	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
1.2.1.3	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
2.1.1.6	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
2.1.1.6	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
2.1.1.6	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
1.4.3.4	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
1.4.3.4	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG	Degradation/Utilization/Assimilation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation	Hormones Degradation
