	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
1.1.1.366	PWY-6704	L-ascorbate degradation IV	Ascorbate-Degradation	Degradation/Utilization/Assimilation	Carboxylates Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation
1.1.1.-	PWY-6704	L-ascorbate degradation IV	Ascorbate-Degradation	Degradation/Utilization/Assimilation	Carboxylates Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation	L-Ascorbate Degradation
2.6.1.57	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-Hydroxybenzoate-Biosynthesis	Biosynthesis	Aromatic Compounds Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis
2.6.1.57	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-Hydroxybenzoate-Biosynthesis	Biosynthesis	Aromatic Compounds Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis
1.1.1.237	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-Hydroxybenzoate-Biosynthesis	Biosynthesis	Aromatic Compounds Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis
3.1.2.23	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-Hydroxybenzoate-Biosynthesis	Biosynthesis	Aromatic Compounds Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis
6.2.1.12	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-Hydroxybenzoate-Biosynthesis	Biosynthesis	Aromatic Compounds Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis	4-Hydroxybenzoate Biosynthesis
2.6.1.5	PWY-5886	4-hydroxyphenylpyruvate biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis
2.6.1.5	PWY-5886	4-hydroxyphenylpyruvate biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis	Aromatic Compounds Biosynthesis
2.6.1.57	PWY-5151	L-tyrosine degradation II	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
