	Node1	Node2	CPD
5148	PWY-5203	PWY-5377	(3S)-2,3-epoxy-2,3-dihydrosqualene
5149	PWY-5203	PWY-112	(3S)-2,3-epoxy-2,3-dihydrosqualene
5150	PWY-5203	PWY-7066	&beta;-amyrin
5151	PWY-5203	PWY-5670	(3S)-2,3-epoxy-2,3-dihydrosqualene
5152	PWY-6908	PWY-6909	4-methyl-5-(2-phosphooxyethyl)thiazole
5153	PWY-6908	PWY-7282	4-amino-2-methyl-5-(diphosphomethyl)pyrimidine
5154	PWY-6908	PWY-6890	4-amino-2-methyl-5-(diphosphomethyl)pyrimidine
5155	PWY-6908	PWY-7356	4-amino-2-methyl-5-(diphosphomethyl)pyrimidine
5156	PWY-6908	PWY-7369	thiamine diphosphate
5157	PWY-6908	PWY-7357	thiamine phosphate
5158	PWY-5508	PWY-5443	(R)-1-amino-2-propanol O-2-phosphate
5159	PWY-6418	PWY-981	salicyloyl-CoA
5160	PWY-7560	PWY-5122	dimethylallyl diphosphate|isopentenyl diphosphate
5161	PWY-7560	PWY-6270	dimethylallyl diphosphate
5162	PWY-5160	PWY-5125	cyanidin||3-OH-Anthocyanidins|
5163	PWY-6369	PWY-6362	phytate|D-myo-inositol 1,3,4,5,6-pentakisphosphate
5164	PWY-6369	PWY-6554	phytate
5165	PWY-6369	PWY-6555	phytate
5166	PWY-6369	PWY-6361	phytate
5167	PWY-7606	PWY-7049	icosapentaenoyl-CoA
5168	PWY-7606	PWY66-397	CPD-17355
5169	PWY-7606	PWY66-395	CPD-17355
5170	PWY-7606	PWY-7724	icosapentaenoyl-CoA
5171	PWY-6258	PWY-5123	(2E,6E)-farnesyl diphosphate
5172	PWY-5642	PROPIONMET-PWY	propanoyl-CoA
5173	PWY-6281	SERSYN-PWY	L-serine
5174	PWY-5434	PWY-5123	(2E,6E)-farnesyl diphosphate
5175	PWY-6572	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate
5176	PWY-6266	PWY1F-FLAVSYN	(+)-dihydrokaempferol
5177	PWY-5924	PWY-5927	(3S)-3-isopropenyl-6-oxoheptanoate
5178	PWY-5924	FAO-PWY	(3S)-3-isopropenyl-6-oxoheptanoyl-CoA
5179	SORBDEG-PWY	GLYCOLYSIS	&beta;-D-fructofuranose 6-phosphate
5180	SORBDEG-PWY	PWY-5484	&beta;-D-fructofuranose 6-phosphate|CPD-15709
5181	PWY-6660	TRPCAT-PWY	anthranilate
5182	PWY-5793	PWY-5060	luteolin
5183	PWY-6653	PWY-5120	geranylgeranyl diphosphate
5184	PWY-7482	PWY-5120	geranylgeranyl diphosphate
5185	PWY-6011	ASPSYNII-PWY	hydrogen cyanide
5186	PWY-6011	PWY-7093	MANDELONITRILE
5187	PWY-6430	PWY0-1298	thymine
5188	PWY-6430	PWY-7181	thymine
5189	PWY-7507	PWY-7138	(S)-n-methylcanadine
5190	DARABITOLUTIL-PWY	NONOXIPENT-PWY	D-xylulose 5-phosphate
5191	RIBITOLUTIL-PWY	NONOXIPENT-PWY	D-ribulose 5-phosphate
5192	PWY-5280	PWY-5177	glutaryl-CoA
5193	P542-PWY	PWY-3661	glycine betaine
5194	PWY-7681	PWY-6089	3-chlorocatechol
5195	PWY-7591	PWY-6287	all-trans neurosporene
5196	PWY-361	PWY-84	4-coumaroyl-CoA
5197	PWY-361	PWY-5710	trans-caffeoyl-CoA
5198	PWY-361	PWY-7632	4-coumaroyl-CoA|4-coumaryl alcohol
5199	PWY-361	PWY1F-467	4-coumarate
5200	PWY-361	PWY-5882	4-coumaryl alcohol
5201	PWY-361	PWY-5466	coniferyl alcohol
5202	PWY-361	PWY-7643	coniferyl alcohol
5203	PWY-361	PWY-6302	coniferaldehyde
5204	PWY-361	PWY-116	coniferyl alcohol
5205	PWY-361	PWY-83	sinapaldehyde|sinapyl alcohol|coniferaldehyde
5206	PWY-361	PWY-5168	sinapaldehyde|coniferaldehyde
5207	PWY-361	PWY-2181	trans-cinnamate
5208	PWY-361	PWY-6824	coniferyl alcohol
5209	PWY-361	PWY-5469	coniferyl alcohol
5210	PWY-361	PWY-5859	coniferyl alcohol
5211	PWY-361	PWY-5349	trans-caffeoyl-CoA
5212	PWY-361	PWY-7682	4-coumaraldehyde
5213	PWY-361	PWY-6792	trans-caffeoyl-CoA
5214	PROUT-PWY	PWY-7515	L-proline
5215	PROUT-PWY	ORN-AMINOPENTANOATE-CAT-PWY	L-proline
5216	PROUT-PWY	ARG-GLU-PWY	L-proline
5217	PROUT-PWY	ARG-PRO-PWY	L-proline
5218	PROUT-PWY	GLUTAMATE-DEG1-PWY	L-glutamate
