	Node1	Node2	CPD
0	PWY-6691	NONMEVIPP-PWY	(2E,6E)-farnesyl diphosphate
1	PWY-6462	PWY-6386	ditrans,octacis-undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine
2	PWY-7098	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate
3	PWY-7575	GLYCOLYSIS	acetyl-CoA
4	PWY-7575	PWY-5659	GDP-&alpha;-D-mannose
5	PWY-7577	PWY-7571	N<sup>5</sup>-hydroxy-L-ornithine
6	PWY-5054	CALVIN-PWY	&beta;-D-fructofuranose 6-phosphate
7	PWY-5054	PWY-4101	D-sorbitol
8	PWY-5054	SUCSYN-PWY	&beta;-D-fructofuranose 6-phosphate
9	ANAGLYCOLYSIS-PWY	PYRUVDEHYD-PWY	pyruvate
10	ANAGLYCOLYSIS-PWY	PWY-5100	pyruvate
11	ANAGLYCOLYSIS-PWY	PWY66-373	D-glyceraldehyde 3-phosphate
12	ANAGLYCOLYSIS-PWY	PWY-6744	NADH
13	PWY-6050	PWY-6047	dimethyl sulfide
14	PWY-6050	PWY-6058	dimethyl sulfoxide
15	PWY-6972	PWY-6971	oleandomycin
16	PWY-6516	PWY-4261	glycerol
17	PWY-6516	TCA	2-oxoglutarate
18	PWY-6516	PWY-7246	D-GALACTURONATE|5-dehydro-4-deoxy-D-glucuronate
19	PWY-6516	PWY-7248	D-GALACTURONATE
20	PWY-6305	PWY-5315	putrescine
21	PWY-6305	BSUBPOLYAMSYN-PWY	putrescine
22	PWY-6997	TCA	2-oxoglutarate
23	PWY-6797	PWY-6148	7,8-dihydroneopterin|(7,8-dihydropterin-6-yl)methyl diphosphate
24	PWY-6432	PWY-3462	L-phenylalanine
25	PWY-6432	PWY-6457	(E)-cinnamoyl-CoA
26	PWY-6432	PWY-4421	curcumin
27	PWY-782	PWY-401	1-18:1-2-16:0-digalactosyldiacylglycerol||D-Galactosyl-12-diacyl-glycerols|||Galactosyl-galactosyl-diacyl-glycerols||1-18:1-2-16:0-monogalactosyldiacylglycerol|1-18:2-2-18:2-monogalactosyldiacylglycerol|1-16:0-2-18:2-digalactosyldiacylglycerol|1-18:2-2-18:2-digalactosyldiacylglycerol
28	PWY-5749	PYRUVDEHYD-PWY	pyruvate
29	PWY-5749	TCA	acetyl-CoA
30	PWY-7655	PWY-7653	griseophenone C
31	PWY-6419	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate
32	TRPSYN-PWY	PWY-7476	anthranilate
33	TRPSYN-PWY	PWY-6165	chorismate
34	TRPSYN-PWY	PWY-7549	L-tryptophan
35	TRPSYN-PWY	PWY-7612	L-tryptophan
36	TRPSYN-PWY	PWY-7525	L-tryptophan
37	TRPSYN-PWY	PWY-7520	L-tryptophan
38	TRPSYN-PWY	PWY-7609	L-tryptophan
39	TRPSYN-PWY	PWY-6949	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate
40	TRPSYN-PWY	PWY-7463	anthranilate
41	TRPSYN-PWY	PWY-7733	L-tryptophan
42	TRPSYN-PWY	PWY-7475	anthranilate
43	TRPSYN-PWY	SERSYN-PWY	L-serine
44	TRPSYN-PWY	PWY-6069	indole
45	TRPSYN-PWY	PWY-7405	anthranilate
46	TRPSYN-PWY	PWY-4161	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate
47	TRPSYN-PWY	PWY-7734	L-tryptophan
48	TRPSYN-PWY	PWY-7770	L-tryptophan
49	TRPSYN-PWY	PWY-7667	L-tryptophan
50	TRPSYN-PWY	PWY-7668	L-tryptophan
51	TRPSYN-PWY	GLNSYN-PWY	L-glutamine
52	TRPSYN-PWY	PWY-7542	L-tryptophan
53	TRPSYN-PWY	PWY-6068	indole
54	TRPSYN-PWY	PWY-7543	L-tryptophan
55	TRPSYN-PWY	PWY-7532	L-tryptophan
56	TRPSYN-PWY	PWY-7537	L-tryptophan
57	TRPSYN-PWY	PWY-7605	L-tryptophan
58	TRPSYN-PWY	PWY-7407	anthranilate
59	TRPSYN-PWY	PWY-7492	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate
60	2AMINOBENZDEG-PWY	CENTBENZCOA-PWY	benzoyl-CoA
61	TRYPANOSYN-PWY	PWY-4121	glutathionylspermidine
62	PWY-7356	PWY-7282	4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine
63	PWY-7356	PWY-6910	4-amino-2-methyl-5-pyrimidinemethanol
64	PWY-7356	PWY-6908	4-amino-2-methyl-5-(diphosphomethyl)pyrimidine
65	PWY-6981	TRESYN-PWY	&alpha;,&alpha;-trehalose
66	PWY-6981	PWY-6906	N-ACETYL-D-GLUCOSAMINE-6-P
67	PWY-6981	PWY-5067	|Glycogens|
68	PWY0-1261	GLUAMCAT-PWY	N-ACETYL-D-GLUCOSAMINE-6-P
69	PWY0-1261	PWY0-1546	L-alanyl-&gamma;-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine
70	PWY0-1261	PWY-6387	UDP-N-acetyl-&alpha;-D-glucosamine|UDP-<I>N</I>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimelate
71	PWY0-1261	PWY-6517	N-ACETYL-D-GLUCOSAMINE-6-P
72	PWY-5481	PWY-7383	pyruvate
73	PWY-5291	PWY-5288	canthaxanthin
74	PWY-5291	PWY-5943	all-trans-&beta;-carotene
75	PWY-6364	PWY-6365	D-myo-inositol (1,3,4)-trisphosphate
76	PWY-6364	PWY-6351	D-myo-inositol (1,4,5)-trisphosphate
77	PWY-6364	PWY-6555	D-myo-inositol (1,3,4)-trisphosphate
78	PWY-6364	PWY-6366	D-myo-inositol (1,3,4)-trisphosphate
79	PWY-6364	PWY-6367	D-myo-inositol (1,4,5)-trisphosphate
80	PWY-6364	PWY-6554	D-myo-inositol (1,3,4)-trisphosphate
81	PWY-6089	PWY-2361	3-oxoadipate
82	PWY-6089	PWY-6083	3-chlorocatechol
83	PWY-6089	PWY-7681	3-chlorocatechol
84	PWY-6089	PWY-6088	3-chlorocatechol
85	IDNCAT-PWY	ENTNER-DOUDOROFF-PWY	D-gluconate 6-phosphate
86	PWY-6126	ASPARTATESYN-PWY	L-aspartate
87	PWY-5817	PWY-5123	(2E,6E)-farnesyl diphosphate
88	PWY-5817	PWY-5892	all-trans-dodecaprenyl diphosphate
89	PWY-7810	PWY-7812	tetracycline
90	PWY-7696	PWY-7695	CPD-18240
91	PWY-7696	PWY-7692	CPD-18209
92	ARGASEDEG-PWY	ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine
93	ARGASEDEG-PWY	GLUTAMATE-DEG1-PWY	L-glutamate
94	PWY-6052	PWY-6048	3-(methylthio)propanoate
95	PWY-6052	PWY-6045	3-(methylthio)propanoate
96	PWY-6052	PWY-5260	3-(methylthio)propanoate
97	PWY-401	TRIGLSYN-PWY	DIACYLGLYCEROL
98	PWY-401	PWY-782	1-18:1-2-16:0-digalactosyldiacylglycerol||D-Galactosyl-12-diacyl-glycerols|||Galactosyl-galactosyl-diacyl-glycerols||1-18:1-2-16:0-monogalactosyldiacylglycerol|1-18:2-2-18:2-monogalactosyldiacylglycerol|1-16:0-2-18:2-digalactosyldiacylglycerol|1-18:2-2-18:2-digalactosyldiacylglycerol
99	PWY-5419	PWY-6533	catechol
100	PWY-5419	PWY-6079	catechol
101	PWY-5419	PWY-5162	2-oxopent-4-enoate
102	PWY-5419	PWY-5418	catechol
103	PWY-5419	P661-PWY	catechol
104	PWY-5419	DESULFONATION-PWY	catechol
105	PWY-7388	PWY-7382	|Octanoyl-ACPs|
106	PWY-7713	PWY-7730	3,4,15-triacetoxyscirpenol
107	PWY-7713	PWY-7712	3,15-acetyldeoxynivalenol
108	PWY-7713	PWY-7711	3,4,15-triacetoxyscirpenol
109	PWY-5174	CAROTENOID-PWY	violaxanthin|antheraxanthin
110	PWY-5174	PWY-5945	violaxanthin
111	PWY-6391	PWY-5938	(R)-acetoin
112	PWY-6391	PWY-5939	(R)-acetoin
113	PWY-5661	PWY-5662	GDP-&alpha;-D-glucose
114	PWY-5661	PWY-6687	GDP-&alpha;-D-glucose
115	PWY-5661	TREHALOSESYN-PWY	GDP-&alpha;-D-glucose
116	PWY-5340	PWY-601	3'-phosphoadenylyl-sulfate
117	PWY-5340	PWY-6932	adenosine 5'-phosphosulfate
118	PWY-5340	SULFMETII-PWY	adenosine 5'-phosphosulfate
119	PWY-5340	PWY-2821	3'-phosphoadenylyl-sulfate
120	PWY-5340	PWY-1187	3'-phosphoadenylyl-sulfate
121	PWY-5913	PYRUVDEHYD-PWY	acetyl-CoA
122	PWY-5913	HOMOSER-METSYN-PWY	succinyl-CoA
123	PWY-6435	PWY1F-467	4-coumarate
124	PWY-7153	GLYCOLYSIS	glycerone phosphate
125	PWY-5833	PWY-5831	CDP-4-dehydro-3,6-dideoxy-D-glucose
126	PWY-5833	PWY-5832	CDP-4-dehydro-3,6-dideoxy-D-glucose
127	PWY-5833	PWY-5830	CDP-4-dehydro-3,6-dideoxy-D-glucose
128	PWY-5833	PWY-5834	CDP-4-dehydro-3,6-dideoxy-D-glucose
129	PWY-6363	PWY-6367	D-myo-inositol (1,4,5)-trisphosphate
130	PWY-6363	PWY-6352	<I>myo</I>-inositol
131	PWY-6363	PWY-6351	D-myo-inositol (1,4,5)-trisphosphate|<I>myo</I>-inositol
132	PWY-7274	SERSYN-PWY	L-serine
133	PWY-5885	PWY-5080	|Long-Chain-Fatty-Acids|
134	DISSULFRED-PWY	PWY-5352	sulfite
135	DISSULFRED-PWY	PWY-1281	sulfite
136	PWY-4984	ARGININE-SYN4-PWY	L-ornithine
137	PWY-7195	PWY-3982	uracil
138	PWY-7195	PWY-7183	uracil
139	PWY-7195	PWY-7185	cytidine
140	PWY-5475	PWY-5477	1,2,3,4,6-pentagalloylglucose
141	PWY-5475	PWY-6707	gallate
142	PWY-5475	PWY-5476	1,2,3,4,6-pentagalloylglucose
143	PWY-7787	NONOXIPENT-PWY	D-erythrose 4-phosphate
144	PWY-5741	PROPIONMET-PWY	propanoyl-CoA
145	THISYN-PWY	TYRSYN	L-tyrosine
146	PWY-7114	PWY-7697	geranyl 6-O-&beta;-D-xylopyranosyl-&beta;-D-glucopyranoside
147	PWY-3042	PWY-7615	(-)-phaseollin|(-)-phaseollidin
148	PWY-3042	PWY-2761	(6aR,11aR)-3,9-dihydroxypterocarpan
149	PWY-5250	PWY-5198	|Factor-420|
150	PWY-5250	P261-PWY	|CoM|
151	PWY-5250	PWY-5209	|Me-CoM|
152	PWY-5250	METHFORM-PWY	|Me-CoM|
153	PWY-5361	PWY-7036	icosanoyl-CoA
154	PWY-5361	PWY-5148	(5Z)-icosenoyl-CoA
155	PWY-6536	PWY0-1305	4-aminobutanoate
156	PWY-6536	PWY-3	4-aminobutanoate
157	PWY-6536	PUTDEG-PWY	4-aminobutanoate
158	PWY-6536	TCA	succinate
159	PWY-6536	PWY0-1221	4-aminobutanoate
160	PWY-5855	PWY-5755	|4-hydroxybenzoate|
161	PWY-5855	PWY-5807	all-trans-heptaprenyl diphosphate
162	PWY-1422	PWY-5886	4-hydroxyphenylpyruvate
163	PWY-1422	PWY-5071	4-hydroxyphenylpyruvate
164	PWY-1422	PWY-5063	phytyl diphosphate
165	PWY-1422	PWY-7432	homogentisate
166	PWY-1422	PWY-5048	4-hydroxyphenylpyruvate
167	PWY-1422	PWY-5107	phytyl diphosphate
168	PWY-735	PWY-6233	(-)-jasmonate||Jasmonic-Acids|
169	PWY-735	PWY-6235	(-)-jasmonate||Jasmonic-Acids|
170	PWY-735	PWY-6220	(-)-jasmonate||Jasmonic-Acids|
171	PWY-735	PWY-6926	12-oxo-cis-10,15-phytodienoate
172	PWY-6471	ALANINE-VALINESYN-PWY	L-alanine|D-alanine
173	PWY-6471	DAPLYSINESYN-PWY	L-lysine
174	PWY-6471	UDPNAGSYN-PWY	UDP-N-acetyl-&alpha;-D-glucosamine
175	PWY-7246	PWY-6516	D-GALACTURONATE|5-dehydro-4-deoxy-D-glucuronate
176	PWY-7246	GALACTUROCAT-PWY	D-GALACTURONATE
177	PWY-7246	PWY-6486	|D-Galactopyranuronate|
178	PWY-7246	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate|5-dehydro-4-deoxy-D-glucuronate
179	METHIONINE-DEG1-PWY	CYSTEINE-DEG-PWY	L-cysteine
180	METHIONINE-DEG1-PWY	ADENOSYLHOMOCYSCAT-PWY	L-homocysteine
181	METHIONINE-DEG1-PWY	HOMOCYSDEGR-PWY	L-homocysteine
182	PWY-6902	PWY-6906	CHITOBIOSE|CPD-13545||N-acetyl-D-glucosamine|
183	PWY-7571	PYRUVDEHYD-PWY	acetyl-CoA
184	PWY-7571	PWY-7577	N<sup>5</sup>-hydroxy-L-ornithine
185	PWY-7571	ARGSYN-PWY	L-ornithine
186	PWY0-1586	PEPTIDOGLYCANSYN-PWY	ditrans,octacis-undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanyl-D-alanine
187	PWY-4821	PWY-6569	UDP-&alpha;-D-xylose|UDP-&alpha;-D-glucuronate
188	PWY-4821	PWY-6564	UDP-&alpha;-D-xylose|UDP-&alpha;-D-glucuronate
189	PWY-4821	PWY-6571	UDP-&alpha;-D-xylose|UDP-&alpha;-D-glucuronate
190	PWY-4821	PWY-63	UDP-&alpha;-D-xylose
191	PWY-4821	PWY-5800	UDP-&alpha;-D-xylose
192	PWY-4821	PWY-4841	UDP-&alpha;-D-glucuronate
193	PWY-4821	PWY-3821	UDP-&alpha;-D-glucose
194	PWY-4821	PWY0-1338	UDP-&alpha;-D-glucuronate
195	PWY-4821	PWY-7343	UDP-&alpha;-D-glucose
196	PWY-4821	PWY-6557	UDP-&alpha;-D-xylose
197	PWY-6178	PWY-2361	3-oxoadipate
198	PWY-481	CENTBENZCOA-PWY	benzoyl-CoA
199	PWY-7756	PWY-7754	deoxycholate|lithocholate
200	PWY-5915	HEME-BIOSYNTHESIS-II	ferroheme b
201	PWY-5476	PWY-5475	1,2,3,4,6-pentagalloylglucose
202	PWY-6294	PWY-5123	(2E,6E)-farnesyl diphosphate
203	PWY-7120	PWY-1121	16-hydroxypalmitate
204	PWY-1881	PWY-1723	formate
205	PWY-1881	FORMASS-PWY	formate
206	PWY-1881	PWY-1801	formate
207	PWY-1881	PWY1G-170	formate
208	PWY-7818	PWY-7467	2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-ditrans,octacis-undecaprenol
209	PWY-7472	PWY-3661	glycine betaine
210	PWYQT-4473	PWYQT-4450	2-oxo-8-methylthiooctanoate
211	PWY-7684	TRIGLSYN-PWY	DIACYLGLYCEROL
212	PWY66-422	GLYCOLYSIS	&beta;-D-glucose 6-phosphate
213	GLYOXYLATE-BYPASS	PYRUVDEHYD-PWY	acetyl-CoA
214	GLYOXYLATE-BYPASS	PWY-1622	acetyl-CoA|glyoxylate
215	GLYOXYLATE-BYPASS	GLYSYN-ALA-PWY	glyoxylate
216	PWY-5086	PWY-5063	phytyl diphosphate
217	PWY-5086	PWY-7159	3,8-divinyl chlorophyllide a
218	PWY-5086	PWY-5068	chlorophyll a
219	PWY-5086	PWY-7164	chlorophyll a
220	PWY-5086	CHLOROPHYLL-SYN	3,8-divinyl chlorophyllide a
221	PWY-7067	PWY-112	lupeol
222	TEICHOICACID-PWY	UDPNAGSYN-PWY	UDP-N-acetyl-&alpha;-D-glucosamine
223	PWY-5397	CAROTENOID-PWY	zeaxanthin
224	PWY-5397	PWY-6806	crocetin dialdehyde
225	PWY-5397	PWY-5398	crocetin
226	PWY-5397	PWY-5944	zeaxanthin
227	PWY-6785	PWY-101	|Reduced-ferredoxins|
228	PWY-66	PWY-5659	GDP-&alpha;-D-mannose
229	PWY-7555	PWY-7558	&alpha;-cyclopiazonate
230	PWY-4841	PWY-4821	UDP-&alpha;-D-glucuronate
231	PWY-4841	PWY-4861	UDP-&alpha;-D-glucuronate
232	PWY-5796	PWY-6060	|Holo-malonate-decarboxylases|
233	PWY-5796	COA-PWY	3'-dephospho-CoA
234	PWY-5796	PWY-5794	|Holo-malonate-decarboxylases|||Malonate-Decarboxylases-Thiol-Form|
235	PWY-6935	PWY-6936	seleno-L-methionine
236	PWY-6133	PWY-5270	(S)-reticuline
237	PWY-6133	PWY-6134	L-tyrosine
238	PWY-7255	CYSTSYN-PWY	L-cysteine
239	PWY-7255	HISTSYN-PWY	L-histidine
240	PWY-6046	PWY-6057	dimethyl sulfide
241	PWY-6046	PWY-6373	acrylate
242	PWY-6046	PWY-6059	dimethyl sulfide
243	PWY-6046	PWY-6047	dimethyl sulfide
244	PWY-641	PWY-5152	CPD-11512
245	PWY-641	PWY-6029	(+)-afzelechin|(+)-gallocatechin|(+)-catechin
246	PWY-641	PWY-5125	|Anthocyanidins|
247	PWY-641	PWY1F-823	(2R,3S,4S)-leucocyanidin|(2R,3S,4S)-leucopelargonidin|CPD-11512|(2R,3S,4S)-leucodelphinidin
248	PWY-641	PWY-5153	|Anthocyanidins||delphinidin|(2R,3S,4S)-leucodelphinidin
249	PWY-641	PWY-7267	(2R,3S,4S)-leucopelargonidin|pelargonidin
250	HEMESYN2-PWY	PWY-5188	uroporphyrinogen-III
251	PWY-5632	PWY-5631	deacetylcephalosporin-C
252	SALVADEHYPOX-PWY	PWY-6605	adenosine
253	SALVADEHYPOX-PWY	P121-PWY	adenosine
254	SALVADEHYPOX-PWY	PWY-5691	urate
255	SALVADEHYPOX-PWY	PWY-6619	adenosine
256	PWY-5531	PWY-7762	3,8-divinyl chlorophyllide a
257	PWY-5531	PWY-5189	uroporphyrinogen-III
258	PWY-5531	PWY-5526	3,8-divinyl chlorophyllide a
259	PWY-5531	PWY-7760	3,8-divinyl chlorophyllide a
260	PWY-5531	PWY-7758	3,8-divinyl chlorophyllide a
261	PWY-5531	PWY-7759	3,8-divinyl chlorophyllide a
262	CENTBENZCOA-PWY	PWY-81	benzoyl-CoA
263	CENTBENZCOA-PWY	PWY-283	benzoyl-CoA
264	CENTBENZCOA-PWY	2AMINOBENZDEG-PWY	benzoyl-CoA
265	CENTBENZCOA-PWY	PWY-481	benzoyl-CoA
266	CENTBENZCOA-PWY	PWY-7046	benzoyl-CoA
267	CENTBENZCOA-PWY	PWY-6080	benzoyl-CoA
268	CENTBENZCOA-PWY	PWY-1341	benzoyl-CoA
269	CENTBENZCOA-PWY	PHENOLDEG-PWY	benzoyl-CoA
270	CENTBENZCOA-PWY	PWY-5177	glutaryl-CoA
271	PWY-5517	TCA	2-oxoglutarate
272	PWY-7367	PWY3O-450	CDP-choline|choline
273	DENOVOPURINE2-PWY	GLYSYN-PWY	glycine
274	DENOVOPURINE2-PWY	PWY0-661	5-phospho-&alpha;-D-ribose 1-diphosphate
275	DENOVOPURINE2-PWY	PWY0-662	5-phospho-&alpha;-D-ribose 1-diphosphate
276	DENOVOPURINE2-PWY	ASPARTATESYN-PWY	L-aspartate
277	PWY-7170	HEME-BIOSYNTHESIS-II	ferroheme b||Heme-b|
278	PWY-7483	DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose
279	PWY-7791	GLNSYN-PWY	L-glutamine
280	PWY-7791	PWY-7176	UMP
281	PWY-7791	ASPARTATESYN-PWY	L-aspartate
282	PWY-7494	PWY-3661	glycine betaine
283	PWY-5951	PWY-5939	(R)-acetoin
284	PWY-5951	PWY-5938	(R)-acetoin
285	PWY-5951	PWY-6389	ACETOIN
286	PWY-6153	PWY-6151	autoinducer 2
287	PWY-6153	SAM-PWY	S-adenosyl-L-methionine
288	PWY-7633	PWY-2464	calycosin
289	PWY-7565	TYRSYN	L-tyrosine
290	PWY-7565	PWY-3461	L-tyrosine
291	PWY-7455	PWY-7299	progesterone
292	PWY-6657	FAO-PWY	TRANS-D2-ENOYL-COA
293	PWY-6657	PWY-6648	OH-ACYL-ACP
294	PWY-6657	FASYN-ELONG-PWY	|Beta-hydroxydecanoyl-ACPs|
295	PWY-5151	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate
296	PWY-7068	PWY-5377	&alpha;-amyrin
297	PWY-6027	VALSYN-PWY	isobutanoyl-CoA
298	PWY-6027	PWY1F-467	feruloyl-CoA
299	PWY-6027	PWY-6302	coniferaldehyde
300	PWY-7082	P282-PWY	nitrite
301	PWY-7019	PWY-7015	ribostamycin
302	PWY-5404	PWY-5394	L-dopa|L-tyrosine
303	PWY-6446	PWY-3462	L-phenylalanine
304	PWY-6446	PWY-6457	(E)-cinnamoyl-CoA
305	PWY-7016	PWY-7015	ribostamycin
306	PWY-5645	PWY-7823	2-amino-5-chlorophenol
307	PWY-7251	PWY-5670	(3S)-2,3-epoxy-2,3-dihydrosqualene
308	PWY-7260	PWY-5153	delphinidin-3-O-&beta;-D-glucoside
309	PWY-7260	PWY-7261	delphinidin-3-O-&beta;-D-glucoside
310	PWY-5744	PWY-5743	glyoxylate
311	PWY-5439	PWY-5403	dopamine
312	PWY-5439	PWY-5394	betalamate
313	PWY-7199	PWY-7197	dCMP|dTMP
314	PWY-7199	PWY-7184	dUMP|dTMP
315	PWY-7199	PWY-7210	dUMP|dTMP
316	PWY-5651	PWY-5652	aminocarboxymuconate semialdehyde
317	PWY-5651	PWY-5653	aminocarboxymuconate semialdehyde
318	PWY-5783	PWY-5852	all-trans-octaprenyl diphosphate
319	PWY-5783	PWY-6793	all-trans-octaprenyl diphosphate
320	PWY-5783	PWY-5123	(2E,6E)-farnesyl diphosphate
321	PWY-5783	PWY-7373	all-trans-octaprenyl diphosphate
322	PWY-5783	PWY-6262	all-trans-octaprenyl diphosphate
323	PWY-5783	PWY-5870	all-trans-octaprenyl diphosphate
324	PWY-5783	PWY-7372	all-trans-octaprenyl diphosphate
325	PWY-5783	PWY-6708	all-trans-octaprenyl diphosphate
326	PWY-7066	PWY-5203	&beta;-amyrin
327	PWY-6976	PWY-6975	dTDP-&beta;-L-mycarose
328	PWY-6976	PWY-7415	dTDP-&beta;-L-mycarose
329	PWY-6976	PWY-7106	dTDP-&beta;-L-mycarose
330	PWY0-823	PUTDEG-PWY	putrescine
331	PWY0-823	PWY0-1221	putrescine
332	PWY-5845	PWY-5122	geranyl diphosphate
333	PWY-7718	VALSYN-PWY	L-valine
334	PWY-7718	GLYSYN-PWY	glycine
335	PWY-7718	PWY-7717	3-hydroxy-4-methylanthranilate
336	PWY-7718	HOMOSER-THRESYN-PWY	L-threonine
337	PWY-7718	PROSYN-PWY	L-proline
338	PWY-6265	PWY-5123	(2E,6E)-farnesyl diphosphate
339	PWY-6654	VALSYN-PWY	3-methyl-2-oxobutanoate|L-valine
340	PWY-6654	COA-PWY	(R)-4'-phosphopantothenate
341	PWY-6654	PWY-5155	&beta;-alanine
342	PWY-7384	PWY-5109	propanoate
343	PWY-7384	PWY-7383	(S)-malate
344	GLYSYN-ALA-PWY	GLYOXYLATE-BYPASS	glyoxylate
345	PWY-5927	FAO-PWY	(3S)-3-isopropenyl-6-oxoheptanoyl-CoA
346	PWY-5927	PWY-5924	(3S)-3-isopropenyl-6-oxoheptanoate
347	PWY66-428	PROPIONMET-PWY	propanoyl-CoA
348	PWY66-201	PWY66-221	cotinine
349	PWY-7102	NONMEVIPP-PWY	isopentenyl diphosphate
350	PWY-7102	PWY-922	isopentenyl diphosphate
351	PWY-1187	PWY-1186	L-homomethionine
352	PWY-1187	PWY-5340	3'-phosphoadenylyl-sulfate
353	PWY-1187	PWYQT-4450	2-oxo-5-methylthiopentanoate
354	GLNSYN-PWY	GLUTSYN-PWY	L-glutamate|L-glutamine
355	GLNSYN-PWY	PWY-5686	L-glutamine
356	GLNSYN-PWY	PWY-7790	L-glutamine
357	GLNSYN-PWY	GLUGLNSYN-PWY	L-glutamine
358	GLNSYN-PWY	PWY-7791	L-glutamine
359	GLNSYN-PWY	GLUTSYNIII-PWY	L-glutamate
360	GLNSYN-PWY	PWY-6466	L-glutamine
361	GLNSYN-PWY	PWY0-162	L-glutamine
362	GLNSYN-PWY	TRPSYN-PWY	L-glutamine
363	GLNSYN-PWY	CITRULBIO-PWY	L-glutamine
364	GLNSYN-PWY	PWY-7211	L-glutamine
365	GLNSYN-PWY	PWY-6629	L-glutamine
366	PWY-4502	PWY-4681	2'-hydroxygenistein
367	PWY-4502	PWY-2083	genistein
368	PWY-7059	PWY-6493	chanoclavine-I aldehyde
369	PWY-7650	PWY-7649	3-hydroxy-L-homotyrosine
370	PWY-7650	PWY-7648	4-methyl-3-hydroxy-proline
371	PWY-7650	PWY-7652	echinocandin B
372	PWY-6837	PWY-5136	|cis-5-enoyl-CoA||TRANS-D2-ENOYL-COA
373	PWY0-321	PWY-6941	phenylacetate
374	PWY0-321	TCA	succinyl-CoA
375	PWY0-321	PWY-6534	phenylacetate
376	PWY0-321	2PHENDEG-PWY	phenylacetate
377	PWY-7612	TRPSYN-PWY	L-tryptophan
378	PWY-5959	PWY-5956	sterigmatocystin
379	CYSTEINE-DEG-PWY	METHIONINE-DEG1-PWY	L-cysteine
380	CYSTEINE-DEG-PWY	PYRUVDEHYD-PWY	pyruvate
381	CYSTEINE-DEG-PWY	PWY-5326	sulfite
382	CYSTEINE-DEG-PWY	HOMOCYSDEGR-PWY	L-cysteine
383	PWY-0	GLUDEG-I-PWY	4-aminobutanoate
384	PWY0-1295	PWY-7177	uridine
385	PWY0-1295	PWY-7185	cytidine|uridine
386	PWY-7450	PWY-5125	cyanidin||3-OH-Anthocyanidins|
387	PWY-5083	PYRIDNUCSYN-PWY	NAD<sup>+</sup>
388	PWY-5194	PWY-7554	siroheme
389	PWY-5194	PWY-5189	uroporphyrinogen-III
390	PWY-5194	PWY-5297	sirohydrochlorin
391	PWY-5194	PWY-5188	uroporphyrinogen-III
392	PWY-5194	PWY-7552	siroheme
393	PWY-6121	PWY-1722	FORMYL-THF-GLU-N
394	PWY-6121	PWY0-662	5-phospho-&alpha;-D-ribose 1-diphosphate
395	PWY-6121	PWY-6124	5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole
396	PWY-6121	PWY0-661	5-phospho-&alpha;-D-ribose 1-diphosphate
397	PWY-6121	PWY-6123	5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole
398	PWY-6121	GLYSYN-PWY	glycine
399	PWY-6121	PWY-7729	5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole
400	PWY-2301	PWY-5940	<I>myo</I>-inositol
401	PWY-2301	PWY-6352	<I>myo</I>-inositol
402	PWY-2301	PWY-6351	<I>myo</I>-inositol
403	PWY-2301	PWY-6372	<I>myo</I>-inositol
404	PWY-2301	PWY-4661	<I>myo</I>-inositol
405	PWY-2301	PWY-7625	<I>myo</I>-inositol
406	PWY-2301	PWY-6371	<I>myo</I>-inositol
407	PWY-6405	GLYCOLYSIS	2-phospho-D-glycerate|1,3-bisphospho-D-glycerate|3-phospho-D-glycerate
408	PWY-5384	P124-PWY	&beta;-D-fructofuranose 6-phosphate
409	PWY-6061	PWY66-341	cholesterol
410	PWY-6061	PWY66-4	cholesterol
411	PWY-6061	PWY-7754	glycocholate|taurochenodeoxycholate|glycochenodeoxycholate|taurocholate
412	PWY-6061	PWY-6518	glycocholate
413	PWY-6061	PWY66-3	cholesterol
414	RIBOKIN-PWY	PWY0-661	RIBOSE-5P
415	RIBOKIN-PWY	PWY0-662	RIBOSE-5P
416	ANAPHENOXI-PWY	PWY-1341	phenylacetate
417	PWY-6792	PWY-361	trans-caffeoyl-CoA
